Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Eddy Soeparno,Jawa Barat III,PAN,Wakil Ketua Majelis Permusyawaratan Rakyat Republik Indonesia; DPR RI; Sekretaris Jenderal Partai Amanat Nasional,Universitas Indonesia,Sawitri Hardjoprakoso (istri),"M. Soeparno (ayah, Direktur Utama Garuda Indonesia 1988-1992); Sasongko Soeparno (anak); Safiyya Azzahra (anak); Siti Masitha Soeparno (saudara kandung, kakak)"
Zainul Munasichin,Jawa Barat IV,PKB,DPR RI,Universitas Jember,,
Heri Gunawan,Jawa Barat IV,Gerindra,DPR RI,Universitas Kristen Duta Wacana,Kartini Gunawan (istri),
Dewi Asmara,Jawa Barat IV,Golkar,DPR RI; Wakil Ketua Komisi XIII DPR RI,Universitas Indonesia; Universitas Padjadjaran,Permadi Soemarahatianto (suami),Oetojo Oesman (ayah)
Slamet,Jawa Barat IV,PKS,DPR RI,Universitas Udayana,,
Desy Ratnasari,Jawa Barat IV,PAN,DPR RI,Universitas Atma Jaya Jakarta,"Trenady Pramudya (suami, menikah 1999, bercerai 2000); Sammy Hamzah (suami, menikah 2001, bercerai 2004)","Nasywa Nathania Hamzah (anak, lahir 21 Juli 2002); Syahminan (ayah); Mulyanah (ibu)"
Iman Adinugraha,Jawa Barat IV,Demokrat,DPR RI,Akademi Teknologi Yogyakarta,,
Tommy Kurniawan,Jawa Barat V,PKB,DPR RI,Universitas Bina Nusantara,"Fatimah Tania Nadira Alatas (istri, menikah 2011, bercerai 2017); Lisya Nurrahmi (istri, menikah 2018, Puteri Indonesia Aceh 2011)","Muhammad Al Fatih Fabrizio (anak, anak laki-laki (lahir 2012)); Naira Syabila Azzahra Kurniawan (anak, anak perempuan (lahir 2013)); Muhammad Abqary Abdeebaran Kurniawan (anak, lahir 2019)"
Fadli Zon,Jawa Barat V,Gerindra,Menteri Kebudayaan Indonesia; Ketua DPR RI; Wakil Ketua DPR RI Bidang Politik dan Keamanan; DPR RI; Chairman of Global Organization of Parliamentarians Against Corruption,Universitas Indonesia; London School of Economics and Political Science,Katharine Grace (istri),Shafa Sabila Fadli (anak); Zara Saladina Fadli (anak); Zon Harjo (ayah); Ellyda Yatim (ibu)
Mulyadi,Jawa Barat V,Gerindra,DPR RI,Universitas Katolik Parahyangan; Institut Pertanian Bogor,,
Marlyn Maisarah,Jawa Barat V,Gerindra,DPR RI,SMA Sumbangsih,Sugiono (suami),
Adian Napitupulu,Jawa Barat V,PDI-P,DPR RI,Universitas Kristen Indonesia,"Dorothea Eliana Indah Wardani (istri, mantan aktivis mahasiswi)","Achilles Alvaro Adian Napitupulu (anak); Aurora Alethea Adian Napitupulu (anak); Ishak Parluhutan Napitupulu (ayah, pegawai negeri sipil di Kejaksaan Republik Indonesia); Soeparti Esther (ibu)"
Ravindra Airlangga,Jawa Barat V,Golkar,DPR RI,Johns Hopkins University; University of San Fransisco,,"Airlangga Hartarto (ayah, Ketua Umum Golkar); Hartarto Sastrosoenarto (kakek, Menteri era Presiden Soeharto)"
Asep Wahyuwijaya,Jawa Barat V,NasDem,DPR RI,Universitas Padjajaran,,
Achmad Ru'yat,Jawa Barat V,,DPR RI,,Triami Sofia (istri),Muhammad Suwarno (ayah); Situ Suhaenah (ibu)
Primus Yustisio,Jawa Barat V,PAN,DPR RI,STIE Widya Persada,"Jihan Fahira (istri, menikah tanggal 17 September 2004)","Bernardus Eko Sembodo (ayah); Ida Fauziah (ibu); Lana Dafila Yustisio (anak, anak pertama, lahir 26 Juli 2006); Sami Muhammad Abduh Yustisio (anak, anak kedua, lahir 13 April 2008); Tara Azkia Alona (anak, putri ketiga, lahir 17 November 2010)"
Anton Sukartono Suratto,Jawa Barat V,Demokrat,DPR RI,Dowling Colleg Amerika Serikat,,
Sudjatmiko (politikus),Jawa Barat VI,PKB,DPR RI,Universitas Brawijaya; Universitas Persada Indonesia Yayasan Administrasi Indonesia,,
Nuroji,Jawa Barat VI,PDI-P; Gerindra,DPR RI,Institut Pertanian Bogor; Sekolah Tinggi Ilmu Ekonomi Indonesia School of Management,"Rezky M. Noor (istri); Yuliast (istri, menikah tahun 2024)",
Sukur H. Nababan,Jawa Barat VI,PDI-P,DPR RI,Universitas Generasi Muda; Universitas Amir Hamzah,Rumintang Agustina Silaen (istri),
Ranny Fahd Arafiq,Jawa Barat VI,Golkar,DPR RI,,Fahd El Fouz (suami),
Mahfudz Abdurrahman,Jawa Barat VI,PKS,DPR RI,Universitas Jayabaya,,
Muhammad Kholid,Jawa Barat VI,PKS,DPR RI,Universitas Gadjah Mada; Universitas Indonesia,Cici (istri),
Syaiful Huda,Jawa Barat VII,PKB,DPR RI,Universitas Islam Negeri Sunan Gunung Djati; Universitas Negeri Jakarta,Nia Kurniani (istri),
Dedi Mulyadi,Jawa Barat VII,Gerindra,Gubernur Jawa Barat; DPR RI; Bupati Purwakarta; Wakil Bupati Purwakarta,Sekolah Tinggi Hukum Purnawarman; Universitas Widyatama,"Sri Muliawati (istri, menikah 1998, meninggal 1999); Anne Ratna Mustika (istri, menikah 2003, bercerai 2023)","Luthfianisa Putri Karlina (menantu); Sahlin Ahmad Suryana (ayah, pensiunan Tentara Prajurit Kader); Karsiti (ibu, aktivis Palang Merah Indonesia)"
Wardatul Asriah,Jawa Barat VII,Gerindra,DPR RI,IAIN Syarif Hidayatullah; Universitas Prof. Dr. Moestopo (Beragama),"Suryadharma Ali (suami, Menteri Agama RI periode 2009–2014)",
Putih Sari,Jawa Barat VII,Gerindra,DPR RI,Universitas Trisakti,Muhamad Alipudin (suami),Haryanto Taslam (ayah)
Obon Tabroni,Jawa Barat VII,Gerindra,DPR RI,SMA NEGERI 1 KARAWANG,Uun Marpuah (istri),
Rieke Diah Pitaloka,Jawa Barat VII,PDI-P,DPR RI,Universitas Indonesia,"Donny Gahral Adian (suami, menikah 2005, bercerai 2015)","Sagara Kawani Hadiasyah (anak, putra, lahir 2009); Misesa Adiansyah (anak, putra kembar, lahir 2011); Jalumanon Badrika (anak, putra kembar, lahir 2011)"
