Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
I Nyoman Parta,Bali,PDI-P,DPR RI; Komisi VI,,,
I Gusti Ngurah Kesuma Kelakan,Bali,PDI-P,DPR RI; Komisi VIII; eks Wagub Bali,,Anak Agung Sagung Rosyawati (istri),
I Wayan Sudirta,Bali,PDI-P,DPR RI; Komisi III,,dr. Sulili Indawati (istri),
I Nyoman Adi Wiryatama,Bali,PDI-P,DPR RI; eks Bupati Tabanan; eks Ketua DPRD Bali,,"Ni Ketut Suprapti (istri, meninggal 2018)","Ni Putu Eka Wiryastuti (anak, Bupati Tabanan periode 2010-2015 dan 2016-2021); Ni Wayan Suweca (ibu, meninggal 23 Oktober 2022)"
I Ketut Kariyasa Adnyana,Bali,PDI-P,DPR RI; Komisi IX,,Kadek Sri Subawa (istri),
Gde Sumarjaya Linggih,Bali,Golkar,DPR RI; Komisi VI,,Ayu Onik Mindawati (istri),
I Nengah Senantara,Bali,NasDem,DPR RI; Komisi VI,Universitas Udayana,Made Pon Mediani (istri),
Ni Putu Tutik Kusuma Wardhani,Bali,Demokrat,DPR RI; Komisi IX,,I Gede Dharma Wijaya (suami),
Mahdalena,Nusa Tenggara Barat I,PKB,DPR RI,,,"Abdul Kader Jaelani (ipar, Bupati Dompu)"
Mori Hanafi,Nusa Tenggara Barat I,NasDem; Gerindra,DPR RI,,,"Marwan Saridjo (ayah, sempat menjabat sebagai Sekretaris Jenderal Kementerian Agama Republik Indonesia); Kultsum binti HM Said (ibu)"
Johan Rosihan,Nusa Tenggara Barat I,PKS,DPR RI; Komisi IV,,Wahidah (istri),
Lalu Hadrian Irfani,Nusa Tenggara Barat II,PKB,DPR RI; Wakil Ketua Komisi X,,,
Lale Syifaun Nufus,Nusa Tenggara Barat II,Gerindra,DPR RI,,,
Rachmat Hidayat,Nusa Tenggara Barat II,PDI-P,DPR RI,,,
Sari Yuliati,Nusa Tenggara Barat II,Golkar,DPR RI; Komisi III,,Arie Wiryawan (suami),
Fauzan Khalid,Nusa Tenggara Barat II,NasDem,DPR RI; eks Bupati Lombok Barat,,"Khairatun Munzir (istri, Hj. Khairatun Munzir, S. Hi)",Nadani Ruro Shopia (anak); Kanzan Paramasidqi (anak)
Abdul Hadi,Nusa Tenggara Barat II,PKS,DPR RI,,,
Muazzim Akbar,Nusa Tenggara Barat II,PAN,DPR RI,,,
Nanang Samodra Kusuma Abdurrahim,Nusa Tenggara Barat II,Demokrat,DPR RI,Institut Teknologi Bandung,Sri Sutini (istri),
Dipo Nusantara Pua Upa,Nusa Tenggara Timur I,PKB,DPR RI,,Afifah Afiani (istri),H. Muhammad Nur Pua Upa (ayah); Nurhayati Harahap (ibu)
Andreas Hugo Pareira,Nusa Tenggara Timur I,PDI-P,DPR RI; Wakil Ketua Komisi XIII,,Chatarina V. Dwi Indarwati (istri),
Melchias Marcus Mekeng,Nusa Tenggara Timur I,Golkar,DPR RI,,Maria Laurentia Widyana Soehadi (istri),
Julie Sutrisno,Nusa Tenggara Timur I,NasDem,DPR RI,	University of Texas,Viktor Laiskodat (suami),
Viktor Laiskodat,Nusa Tenggara Timur II,NasDem,DPR RI; Gubernur NTT,Sekolah Tinggi Ilmu Hukum Indonesia; Universitas Kristen Satya Wacana,Julie Sutrisno Laiskodat (istri),Lazarus Laiskodat (ayah); Orpha Kase (ibu)
Kader Jaelani,Nusa Tenggara Barat,NasDem,Bupati Dompu,SMA Tri Dharma Kosgoro,Lilis Suryani (istri),
Ahmad Yohan,Nusa Tenggara Timur I,PAN,DPR RI ,,Nikmah Azizah (istri),
Benny Kabur Harman,Nusa Tenggara Timur I,Demokrat; PKPI,DPR RI ,Universitas Brawijaya; Universitas Indonesia,"Maria Goreti Ernawati (istri, drg.)",Maria Caecilia Stevi Harman (anak); Maria Benedikta Stella Harman (anak); Maria Bernadetha Molas Harman (anak)
Usman Husin,Nusa Tenggara Timur II,PKB,DPR RI; Komisi IV,Diklat pelayaran (Ahtn & BPLIP),,
Esthon Foenay,Nusa Tenggara Timur II,Gerindra,DPR RI; Wakil Gubernur NTT; Anggota Komisi II,Universitas Nusa Cendana,Welmintje Foenay Ndoenboey (istri),"Rolinda I Foenay (anak); Gilbert RW Foenay (anak, alm); Daniel W Foenay (anak)"
Yohanis Fransiskus Lema,Nusa Tenggara Timur II,PDI-P,DPR RI,,Maria Immaculata Inge Nioty (istri),
Stevano Rizki Adranacus,Nusa Tenggara Timur II,PDI-P,DPR RI,,,Herman Hery (ayah)
Emanuel Melkiades Laka Lena,Nusa Tenggara Timur II,Golkar,Gubernur NTT; DPR RI,,,
Umbu Kabunang Rudi Yanto Hunga,Nusa Tenggara Timur II,Golkar,DPR RI,,,
Gavriel Putranto Novanto,Nusa Tenggara Timur II,Golkar,DPR RI; Komisi I,,Jessica Rosemary Lee (istri),"Setya Novanto (ayah, mantan ketua DPR); Luciana Lily Herliyanti (ibu)"
Ratu Ngadu Bonu Wulla,Nusa Tenggara Timur II,NasDem,DPR RI; Bupati Sumba Barat Daya,,Markus Dairo Tallu (suami),
Anita Jacoba Gah,Nusa Tenggara Timur II,Demokrat,DPR RI,,,
Daniel Johan,Kalimantan Barat I,PKB,DPR RI; Wakil Ketua Komisi IV,,Merry Theresia Waty (istri),
Yuliansyah,Kalimantan Barat I,Gerindra,DPR RI,,,
Cornelis,Kalimantan Barat I,PDI-P,Gubernur Kalbar; DPR RI,,"Frederika (istri, putri dari seorang camat, menikah 20 April 1980)","Karolin Margret Natasa (anak, putri sulung, anggota DPR-RI); Angelina Fremanco (anak); Josep Rofinus Djamin (ayah); Maria Christina Uko' (ibu)"
Maria Lestari,Kalimantan Barat I,PDI-P,DPR RI,,Herculanus Heriadi (suami),
Maman Abdurrahman,Kalimantan Barat I,Golkar,Menteri Koperasi/UMKM; DPR RI,,,"Muhammad Rafa Raditya Abdurrahman (anak, Bermain bersama dalam pertandingan profesional)"
Franky Sibarani,Kalimantan Barat I,Golkar,DPR RI; Corporate Secretary Head Division Garudafood Group,Institut Pertanian Bogor,Endah Dewayani (istri),
Syarief Abdullah Alkadrie,Kalimantan Barat I,NasDem,DPR RI,,Hj. Hadijah Fitriah (istri),
Alifudin,Kalimantan Barat I,PKS,DPR RI ; Komisi IX,,"Hj. Susanti, SE. (istri)",
Boyman Harun,Kalimantan Barat I,PAN,DPR RI; Komisi V,,"Hj. Rachmiwati, S.H. (istri)",
Lasarus,Kalimantan Barat II,PDI-P,DPR RI; Ketua Komisi V,,Yolanda Cristine Ndoen (istri),
Paolus Hadi,Kalimantan Barat II,PDI-P,DPR RI; eks Bupati Sanggau; Anggota Komisi IV,,"Arita Apolina, S.Pd, M.Si (istri)",
Adrianus Asia Sidot,Kalimantan Barat II,Golkar,DPR RI; eks Bupati Landak,,Maria Bernadetha (istri),
Gulam Mohamad Sharon,Kalimantan Barat II,NasDem,DPR RI; Komisi XII,Universitas Tanjungpura; Institut Pertanian Bogor,,
Iwan Kurniawan,Kalimantan Tengah,Gerindra,DPR RI; Komisi II,,,
Agustiar Sabran,Kalimantan Tengah,Gerindra,Gubernur Kalteng; DPR RI,,"Thisia Halijam (istri, menikah tahun 2021)","Sugianto Sabran (adik, Gubernur Kalimantan Tengah ke-10)"
Sigit Karyawan Yunianto,Kalimantan Tengah,PDI-P,DPR RI,,Since Husana Apriase (istri),
Mukhtarudin,Kalimantan Tengah,Golkar,Menteri Pelindungan Pekerja Migran; DPR RI,Universitas Lambung Mangkurat,Siti Marwiyah (istri),
Andina Thresia Narang,Kalimantan Tengah,NasDem,DPR RI; Komisi I,,,
Muhammad Syauqie,Kalimantan Tengah,PAN,DPR RI; Komisi V,,,
Nadalsyah,Kalimantan Tengah,Demokrat,Eks Bupati Barito Utara,,Hj. Sri Hidayati (istri),
Bambang Purwanto,Kalimantan Tengah,Demokrat; Gerindra,DPR RI; Wakil Bupati & Bupati Kobar,,,
Muhammad Rofiqi,Kalimantan Selatan I,Gerindra,DPR RI,,Pindo Hanastiti (istri),
Bambang Heri Purnama,Kalimantan Selatan I,Golkar,DPR RI; Komisi VI,,Hariyatie (istri),
Sandi Fitrian Noor,Kalimantan Selatan I,Golkar,DPR RI; Komisi VIII,,,"Sahbirin Noor (ayah, Gubernur Kalimantan Selatan)"
Muhammad Rifqinizamy Karsayuda,Kalimantan Selatan I,NasDem,DPR RI,,,"H. Muhammad Karsayuda (ayah, pegawai Kerapatan Qadhi Barabai (belakangan Pengadilan Agama), sebelumnya pegawai Departemen Agama); Hj. Rusdiniyah (ibu, guru Sekolah Dasar PNS hingga pensiun)"
Aboe Bakar Al-Habsyi,Kalimantan Selatan I,PKS,Sekjen PKS; DPR RI,STIE Bisnis Indonesia; King Saud University,Fitrita (istri),
Pangeran Khairul Saleh,Kalimantan Selatan I,PAN,DPR RI; eks Bupati Banjar,,Raudatul Jannah (pasangan),H. Pangeran Jumeri (ayah); Hj. Kartinah (ibu)
Mariana,Kalimantan Selatan II,Gerindra,DPR RI; DPRD Provinsi Kalimantan Selatan,"Sekolah Tinggi Ilmu Ekonomi Pancasetia
",,
Hasnuryadi Sulaiman,Kalimantan Selatan II,Golkar,Wakil Gubernur Kalsel; DPR RI,Universitas Deakin,Ellyana Trisya Hasnuryadi (istri),"Abdussamad Sulaiman (ayah, disebut juga Abdussamad Sulaiman HB)"
Rikwanto,Kalimantan Selatan II,Golkar,DPR RI; Komisi III; eks Kapolda Kalsel & Malut; purnawirawan Polri,Akademi Kepolisian,Lisnawati (istri),
