Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Pilar Saga Ichsan,Banten,Golkar,Wali kota Tangerang Selatan; CEO Perserang,	Universitas Parahyangan,,
Arif Rahman,Banten I,NasDem,DPR RI; STAFF KHUSUS WAKIL PRESIDEN REPUBLIK INDONESIA; KOMISARIS PT MULTI MILENIUM MANIDIRI; KEMENTERAN PERTAHANAN REPUBLIK INDONESIA BIDANG HUBUNGAN ANTAR LEMBAGA,UNIVERSITAS KRISNA DWIPAYANA JAKARTA; UNIVERSITAS TARUMANEGARA,,
Rizki Aulia Rahman Natakusumah,Banten I,Demokrat,DPR RI; Komisaris Utama YAYASAN SOHIBUL BARDKAH WALFADHILAH; Komisaris Utama PT RIZKI CIPTA BETON        ,UNIVERSITAS NOTTINGHAM UK	,,
Beby Tsabina,,,Pemeran; Model; Penyanyi Indonesia,Universitas Western Michigan,,
Achmad Dimyati Natakusumah,Banten I,PKS; PPP,Bupati Pandeglang; Wakil Gubernur Banten,Universitas Indonesia; Universitas Pasundan; Universitas Padjadjaran,,
 Irna Narulita,Banten,PAN; PDIP,Bupati Pandeglang,Sekolah Tinggi Ilmu Ekonomi Supra; Universitas Indonusa Esa Unggul,,
Annisa Mahesa,Banten II,Gerindra,DPR RI,Universitas Indonesia; The University of Melbourne,,
Sarifah Ainun Jariyah,Banten II,PDI-P,DPR RI; Komisi I,,,
Tubagus Haerul Jaman,Banten II,Golkar,DPR RI; Wali Kota Serang; Wakil Wali Kota Serang,Diploma APP (Akademi Pimpinan Perusahaan); S1 Ekonomi (STIE Bina Bangsa),,
Furtasan Ali Yusuf,Banten II,NasDem,DPR RI; Rektor Universitas Bina Bangsa; Mantan Anggota DPRD Banten,SMEA YP 17 Serang; S1 Universitas Terbuka; S2 Universitas Budi Luhur; S3 Universitas Negeri Jakarta,,
Jazuli Juwaini,Banten II,PKS,DPR RI; Ketua Fraksi PKS DPR,LIPIA; IIQ; Universitas Negeri Jakarta,,
Edison Sitorus,Banten II,PAN,DPR RI,,,
Rano Alfath,Banten III,PKB,DPR RI,,,
Sufmi Dasco Ahmad,Banten III,Gerindra,DPR RI; Wakil Ketua DPR RI,,,
Rano Karno,Banten III,PDI-P,DPR RI; Gubernur Banten; Wakil Gubernur Banten,,,
Yulius Setiarto,Banten III,PAN,DPR RI,,,
Marinus Gea,Banten III,PDI-P,DPR RI,,,
Desmond Junaidi Mahesa,Banten II,Gerindra,DPR RI; Wafat,Universitas Lambung Mangkurat; IBLAM Law School,,
Andi Achmad Dara,Banten III,Demokrat,DPR RI; Komisi XI,,,
Wahidin Halim,Banten III,Demokrat; NasDem,DPR RI; Gubernur Banten,,,
Idrus Salim Aljufri,Banten III,PKS,DPR RI,,,
Okta Kumala Dewi,Banten III,PAN,DPR RI,,,
Zulfikar Hamonangan,Banten III,Demokrat,DPR RI; Komisi VII,,,
I Dewa Gde Agung Widiarsana,Bali,Gerindra,DPR RI,FSRD Universitas Trisakti,,
I Nyoman Parta,Bali,PDI-P,DPR RI; Komisi VI,,,
I Gusti Ngurah Kesuma Kelakan,Bali,PDI-P,DPR RI; Komisi VIII; eks Wagub Bali,,,
I Wayan Sudirta,Bali,PDI-P,DPR RI; Komisi III,,,
I Nyoman Adi Wiryatama,Bali,PDI-P,DPR RI; eks Bupati Tabanan; eks Ketua DPRD Bali,,,
I Ketut Kariyasa Adnyana,Bali,PDI-P,DPR RI; Komisi IX,,,
Gde Sumarjaya Linggih,Bali,Golkar,DPR RI; Komisi VI,,,
I Nengah Senantara,Bali,NasDem,DPR RI; Komisi VI,Universitas Udayana,,
Ni Putu Tutik Kusuma Wardhani,Bali,Demokrat,DPR RI; Komisi IX,,,
Mahdalena,Nusa Tenggara Barat I,PKB,DPR RI,,,
Mori Hanafi,Nusa Tenggara Barat I,NasDem; Gerindra,DPR RI,,,
Johan Rosihan,Nusa Tenggara Barat I,PKS,DPR RI; Komisi IV,,,
Lalu Hadrian Irfani,Nusa Tenggara Barat II,PKB,DPR RI; Wakil Ketua Komisi X,,,
Lale Syifaun Nufus,Nusa Tenggara Barat II,Gerindra,DPR RI,,,
Rachmat Hidayat,Nusa Tenggara Barat II,PDI-P,DPR RI,,,
Sari Yuliati,Nusa Tenggara Barat II,Golkar,DPR RI; Komisi III,,,
Fauzan Khalid,Nusa Tenggara Barat II,NasDem,DPR RI; eks Bupati Lombok Barat,,,
Abdul Hadi,Nusa Tenggara Barat II,PKS,DPR RI,,,
Muazzim Akbar,Nusa Tenggara Barat II,PAN,DPR RI,,,
Nanang Samodra,Nusa Tenggara Barat II,Demokrat,DPR RI,Institut Teknologi Bandung,,
Dipo Nusantara,Nusa Tenggara Timur I,PKB,DPR RI,,,
Andreas Hugo Pareira,Nusa Tenggara Timur I,PDI-P,DPR RI; Wakil Ketua Komisi XIII,,,
Melchias Marcus Mekeng,Nusa Tenggara Timur I,Golkar,DPR RI,,,
Julie Sutrisno Laiskodat,Nusa Tenggara Timur I,NasDem,DPR RI,	University of Texas,,
Viktor Bungtilu Laiskodat,Nusa Tenggara Timur II,NasDem,DPR RI; Gubernur NTT,Sekolah Tinggi Ilmu Hukum Indonesia; Universitas Kristen Satya Wacana,,
Abdul Kader Jaelani Barakwan,Nusa Tenggara Barat,NasDem,Bupati Dompu,SMA Tri Dharma Kosgoro,,
Ahmad Yohan,Nusa Tenggara Timur I,PAN,DPR RI ,,,
Benny Kabur Harman,Nusa Tenggara Timur I,Demokrat; PKPI,DPR RI ,Universitas Brawijaya; Universitas Indonesia,,
Usman Husin,Nusa Tenggara Timur II,PKB,DPR RI; Komisi IV,Diklat pelayaran (Ahtn & BPLIP),,
Esthon Foenay,Nusa Tenggara Timur II,Gerindra,DPR RI; Wakil Gubernur NTT; Anggota Komisi II,Universitas Nusa Cendana,,
Yohanis Fransiskus Lema,Nusa Tenggara Timur II,PDI-P,DPR RI,,,
Stevano Rizki Adranacus,Nusa Tenggara Timur II,PDI-P,DPR RI,,,
Emanuel Melkiades Laka Lena,Nusa Tenggara Timur II,Golkar,Gubernur NTT; DPR RI,,,
Umbu Kabunang Rudi Yanto Hunga,Nusa Tenggara Timur II,Golkar,DPR RI,,,
Gavriel Putranto Novanto,Nusa Tenggara Timur II,Golkar,DPR RI; Komisi I,,,
Ratu Ngadu Bonu Wulla,Nusa Tenggara Timur II,NasDem,DPR RI; Bupati Sumba Barat Daya,,,
Anita Jacoba Gah,Nusa Tenggara Timur II,Demokrat,DPR RI,,,
Daniel Johan,Kalimantan Barat I,PKB,DPR RI; Wakil Ketua Komisi IV,,,
Yuliansyah,Kalimantan Barat I,Gerindra,DPR RI,,,
Cornelis,Kalimantan Barat I,PDI-P,Gubernur Kalbar; DPR RI,,,
Maria Lestari,Kalimantan Barat I,PDI-P,DPR RI,,,
Maman Abdurrahman,Kalimantan Barat I,Golkar,Menteri Koperasi/UMKM; DPR RI,,,
Franciscus Maria Agustinus Sibarani,Kalimantan Barat I,Golkar,DPR RI; Corporate Secretary Head Division Garudafood Group,Institut Pertanian Bogor,,
Syarief Abdullah Alkadrie,Kalimantan Barat I,NasDem,DPR RI,,,
Alifudin,Kalimantan Barat I,PKS,DPR RI ; Komisi IX,,,
Boyman Harun,Kalimantan Barat I,PAN,DPR RI; Komisi V,,,
Lasarus,Kalimantan Barat II,PDI-P,DPR RI; Ketua Komisi V,,,
Paolus Hadi,Kalimantan Barat II,PDI-P,DPR RI; eks Bupati Sanggau; Anggota Komisi IV,,,
Adrianus Asia Sidot,Kalimantan Barat II,Golkar,DPR RI; eks Bupati Landak,,,
Gulam Mohamad Sharon,Kalimantan Barat II,NasDem,DPR RI; Komisi XII,Universitas Tanjungpura; Institut Pertanian Bogor,,
Iwan Kurniawan,Kalimantan Tengah,Gerindra,DPR RI; Komisi II,,,
Agustiar Sabran,Kalimantan Tengah,Gerindra,Gubernur Kalteng; DPR RI,,,
Sigit Karyawan Yunianto,Kalimantan Tengah,PDI-P,DPR RI,,,
Mukhtarudin,Kalimantan Tengah,Golkar,Menteri Pelindungan Pekerja Migran; DPR RI,Universitas Lambung Mangkurat,,
Andina Thresia Narang,Kalimantan Tengah,NasDem,DPR RI; Komisi I,,,
Muhammad Syauqie,Kalimantan Tengah,PAN,DPR RI; Komisi V,,,
Nadalsyah,Kalimantan Tengah,Demokrat,Eks Bupati Barito Utara,,,
Bambang Purwanto,Kalimantan Tengah,Demokrat; Gerindra,DPR RI; Wakil Bupati & Bupati Kobar,,,
Muhammad Rofiqi,Kalimantan Selatan I,Gerindra,DPR RI,,,
Bambang Heri Purnama,Kalimantan Selatan I,Golkar,DPR RI; Komisi VI,,,
Sandi Fitrian Noor,Kalimantan Selatan I,Golkar,DPR RI; Komisi VIII,,,
Rifqinizamy Karsayuda,Kalimantan Selatan I,NasDem,DPR RI,,,
Aboe Bakar Al Habsyi,Kalimantan Selatan I,PKS,Sekjen PKS; DPR RI,STIE Bisnis Indonesia; King Saud University,,
Pangeran Khairul Saleh,Kalimantan Selatan I,PAN,DPR RI; eks Bupati Banjar,,,
Mariana,Kalimantan Selatan II,Gerindra,DPR RI; DPRD Provinsi Kalimantan Selatan,"Sekolah Tinggi Ilmu Ekonomi Pancasetia",,
Hasnuryadi Sulaiman,Kalimantan Selatan II,Golkar,Wakil Gubernur Kalsel; DPR RI,Universitas Deakin,,
Rikwanto,Kalimantan Selatan II,Golkar,DPR RI; Komisi III; eks Kapolda Kalsel & Malut; purnawirawan Polri,Akademi Kepolisian,,
