Nama,Dapil,Partai,Jabatan,Pendidikan,Pasangan,Keluarga
Sasa Chalim,,,DPRD Provinsi Lampung; Sekretaris Fraksi PKB DPRD Provinsi Lampun,,,
Erzaldi Rosman Djohan,,,Gubernur Kepulauan Bangka Belitung ke-4; Bupati Bangka Tengah ke-4,,,
Rosman Djohan,,,Wali Kota Pangkalpinang ke-7,,,
Herry Erfian,,,DPD Bangka Belitung; Wakil Bupati Bangka Tengah ke-5,,,
Astrid Khairunnisha,,,DPRD DKI Jakarta,,,
Prabowo Subianto,,,Presiden Indonesia ke-8; Menteri Pertahanan Indonesia ke-26; Ketua Umum Partai Gerakan Indonesia Raya ke-2,,,
Jusuf Manggabarani,,,Wakil Kepala Kepolisian Negara Republik Indonesia ke-25; Kepala Korps Brimob Polri ke-20,,,
Munafri Arifuddin,,,Wali Kota Makassar ke-21,,,
Kurnia Agustina,,,Ketua TP. PKK Kabupaten Bandung,,,
Siti Nurbaya Bakar,,,Menteri Lingkungan Hidup dan Kehutanan Indonesia ke-10,,,
Siti Masitha Soeparno,,,Wali Kota Tegal ke-17,,,
Oetojo Oesman,,,Menteri Kehakiman Indonesia ke-20,,,
Airlangga Hartarto,,,Menteri Koordinator Bidang Perekonomian Indonesia ke-17; Ketua Umum Partai Golkar ke-11; Menteri Perindustrian Indonesia ke-25; DPR RI,,,
Hartarto Sastrosoenarto,,,Menteri Negara Koordinator Pendayagunaan Aparatur Negara Indonesia ke-7; Menteri Negara Koordinator Bidang Perekonomian Indonesia; Menteri Koordinator Bidang Produksi dan Distribusi Indonesia ke-3; Menteri Perindustrian Indonesia ke-14,,,
Luthfianisa Putri Karlina,,,Wakil Bupati Garut ke-5,,,
Anne Ratna Mustika,,,Bupati Purwakarta ke-9; DPRD Provinsi Jawa Barat,,,
Bunyamin Dudih,,,Wali Kota Cimahi; Bupati Purwakarta,,,
Ade Komarudin,,,Ketua DPR ke-17; DPR RI,,,
Ahmad Ru'yat,,,,Institut Pertanian Bogor; Universitas Indonesia,,
Mohamad Hekal,Jawa Tengah IX,Gerindra,DPR RI,SD Al-Azhar Jakarta; SMP Negeri 12 Jakarta; SMA Al-Azhar Jakarta; Pemasaran University of Maryland (-1998); Keuangan American University (-1999),,
Shanty Alda Nathalia,Jawa Tengah IX,PDI-P,DPR RI,,,
Harris Turino,Jawa Tengah IX,PDI-P,DPR RI,Sekolah Dasar Pius Tegal; SMP Pius 1 Tegal; SMA Pius 1 Tegal; S1 Jurusan Teknik Elektro Universitas Kristen Satya Wacana; S2 Magister Manajemen Universitas Prasetya Mulya dan Master of Policy Science di Universitas Indonesia; S3 Universitas Indonesia jurusan Strategic Management,,
Shintya Sandra Kusuma,Jawa Tengah IX,PDI-P,DPR RI,,,
Agung Widyantoro,Jawa Tengah IX,Golkar,DPR RI; DPR RI; Bupati Brebes; Wakil Bupati Brebes,SD Negeri 6 Brebes (1977); SMP Negeri 2 Brebes (1980); SMA Negeri 1 Brebes (1983); S1 Fakultas Hukum Universitas Jenderal Soedirman (1988); S2 Fisipol Universitas Jenderal Soedirman (2005),,
Abdul Fikri Faqih,Jawa Tengah IX,PKS,DPR RI,sekolah negeri Slawi; IKIP Negeri Semarang,,
Wahyudin Noor Aly alias Goyud,Jawa Tengah IX,PAN,DPR RI; Anggota DPRD; Anggota DPRD; Anggota DPRD,SD Negeri 1 Sawo Jajar Brebes; SMP Negeri 1 Brebes; SMA Negeri 1 Teladan Yogyakarta; Fakultas Kedokteran Universitas Negeri Sebelas Maret (UNS) Solo; Fakultas Hukum Universitas Jenderal Soedirman (UNSOED) Purwokerto,,
M. Hanif Dhakiri,Jawa Tengah X,PKB,DPR RI; Menteri Ketenagakerjaan Indonesia ke-26; Menteri Pemuda dan Olahraga Indonesia,MA Al-Muayyad; S1 IAIN Walisongo Semarang Jawa Tengah Tahun 1996; S-2 Universitas Nasional Jurusan Ilmu Politik; S-3 FISIPOL Universitas Padjajaran Bandung,,
Ramson Siagian,Jawa Tengah X,Gerindra; PDI-P,DPR RI,SD Tanah Jawa (1962-1968); SMP Negeri Tanah Jawa (1969-1971); SMA Negeri 1 Pematangsiantar (1972-1974); S-1 Universitas Jayabaya (1975-1978); S-2 Institute of Business and Management Jayakarta (1992 -1994); S-3 Universitas Padjadjaran (2018 - 2022),,
Dede Indra Permana Soediro,Jawa Tengah X,PDI-P,DPR RI,SD Pendidikan Utara (1988-1994); SMP Negeri 3 Semarang (1994-1997); SMA Negeri 1 Semarang (1997-2000); S-1 Fakultas Hukum Universitas Diponegoro (2000-2005); S-2 Fakultas Hukum Universitas Diponegoro (2022-2024),,
Ashraff Abu,Jawa Tengah X,Golkar,DPR RI,,,
Doni Akbar,Jawa Tengah X,Golkar,DPR RI,SD Negeri 56 Palembang (1987-1993); SMP Negeri 1 Palembang (1993-1996); SMA Negeri 2 Palembang (1996-1999); S-1 Ekonomi Akuntansi Universitas Trisakti (1999-2006),,
Yoyok Riyo Sudibyo,Jawa Tengah X,NasDem,DPR RI; Bupati Batang,,,
Rizal Bawazier,Jawa Tengah X,PKS,DPR RI,,,
